Question,Réponse
Puis-je imprimer ou télécharger mes extraits de compte ?,"Oui, vous pouvez imprimer et télécharger vos extraits des opérations temps
                                            réel ou vos extraits des opérations comptabilisées en cliquant
                                            respectivement
                                            sur le bouton """"Exporter"""" et le bouton """"Imprimer"""".
                                            En cliquant sur ""Exporter"", vous pouvez choisir entre les format de
                                            téléchargement suivants: PDF, CSV, Excel, Txt
                                            Vous pouvez également imprimer ou exporter les opérations filtrées par la
                                            recherche avancée."
Quelles sont les cartes consultables dans ma liste des cartes ?,"Vous pouvez consulter toutes les cartes rattachées aux comptes déclarés dans
                                            votre contrat."
Comment puis-je accéder aux détails d'une carte?,"Vous pouvez accéder aux détails d'une carte en cliquant sur le numéro de la
                                            carte."
Quels sont les impayés consultables ?,"Vous pouvez consulter les impayés de chèques/LCN émis et remis, de
                                            prélèvements et de crédits, rattachés aux comptes déclarés en consultation
                                            dans votre contrat."
Comment puis-je accéder aux détails de mon portefeuille titres ?,"Vous pouvez accéder aux détails du portefeuille titres en cliquant sur le
                                            numéro du compte titres."
Que contient le détail du portefeuille titres?,"Le déail du portefeuille titres présente en liste et sous forme de graphique,
                                            la composition du portefeuille. Les placements sont affichés selon les
                                            classes
                                            d'actifs suivantes:Placements obligatairesPlacements diversifiésPlacements actionsPlacement monétaires"
Quelle est la fraicheur des cours de devises affichés ?,"Les cours de devises affichés sont ceux pratiqués en agence dans la
                                            journée"
Quelle est la fraicheur des cours de titres affichés ?,Les cours de titres affichés sont ceux de la veille
Comment accéder à mon espace sécurisé Attijarinet?,"Pour accéder à votre espace sécurisé, vous devez être muni(e) de votre
                                            identifiant et de votre mot de passe.Votre identifiant vous a été remis lors de votre souscription au service
                                            Attijarinet.Quant au mot de passe, il vous a été envoyé par SMS lors de la souscription
                                            au service Attijarinet. En cas de non réception de ce dernier, ou d’oubli,
                                            nous vous remercions de procéder au recalcul de votre mot de passe depuis
                                            l’écran de connexion Atijarinet ou Attijari Mobile"
"A ma première connexion, la modification du mot de passe est-elle obligatoire?","Oui, la modification du mot de passe est une étape nécessaire lors de la
                                            première connexion afin que vous puissiez mettre en place votre mot de passe
                                            personnel pour une sécurité maximale. Assurez-vous de ne jamais communiquer
                                            votre mot de passe à autrui."
Comment composer mon nouveau mot de passe ?,"Votre nouveau mot de passe doit comporter entre 7 et 20 caractères
                                            alphanumériques, et inclure au moins une lettre et au moins un chiffre. Ex:
                                            LJwekHrx8XXM6"
Que se passe-t-il en cas d'échec lors d'une première tentative de connexion ?,"En cas d'échec, vous aurez la possibilité de vous connecter à nouveau.
                                            Cependant, après 3 essais de connexion infructueux, le système bloquera
                                            votre
                                            accès à Attijarinet pendant 5 minutes."
Que faire si j'oublie ou je perds mon mot de passe?,"Le lien ""Mot de passe oublié?""' via attijarinet ou « Mot de passe oublié »
                                            via Attijari Mobile » vous mènera vers un formulaire sur lequel vous serez
                                            invité(e) à renseigner les informations suivantes :Votre identifiantUn de vos numéros de compte domiciliés chez Attijariwafa bankSuite à la validation de ces informations, un code de réinitialisation
                                            provisoire vous sera envoyé à votre GSM renseigné lors de la souscription au
                                            contrat Attijarinet.A la réception de ce code, vous serez invité à le saisir et à redéfinir votre
                                            mot de passe."
Comment accéder à mon espace sécurisé Attijarinet?,"Pour accéder à votre espace sécurisé, vous devez être muni(e) de votre
                                            identifiant et de votre mot de passe.Votre identifiant vous a été remis lors de votre souscription au service
                                            Attijarinet.Quant au mot de passe, il vous a été envoyé par SMS lors de la souscription
                                            au service Attijarinet. En cas de non réception de ce dernier, ou d’oubli,
                                            nous vous remercions de procéder au recalcul de votre mot de passe depuis
                                            l’écran de connexion Atijarinet ou Attijari Mobile"
"A ma première connexion, la modification du mot de passe est-elle obligatoire?","Oui, la modification du mot de passe est une étape nécessaire lors de la
                                            première connexion afin que vous puissiez mettre en place votre mot de passe
                                            personnel pour une sécurité maximale. Assurez-vous de ne jamais communiquer
                                            votre mot de passe à autrui."
Comment composer mon nouveau mot de passe?,"Votre nouveau mot de passe doit comporter entre 7 et 20 caractères
                                            alphanumériques, et inclure au moins une lettre et au moins un chiffre. Ex:
                                            LJwekHrx8XXM6"
Que se passe-t-il en cas d'échec lors d'une première tentative de connexion?,"En cas d'échec, vous aurez la possibilité de vous connecter à nouveau.
                                            Cependant, après 3 essais de connexion infructueux, le système bloquera
                                            votre
                                            accès à Attijarinet pendant 5 minutes."
Que faire si j'oublie ou je perds mon mot de passe?,"Le lien ""Mot de passe oublié?""' via attijarinet ou « Mot de passe oublié »
                                            via Attijari Mobile » vous mènera vers un formulaire sur lequel vous serez
                                            invité(e) à renseigner les informations suivantes :Votre identifiantUn de vos numéros de compte domiciliés chez Attijariwafa bankSuite à la validation de ces informations, un code de réinitialisation
                                            provisoire vous sera envoyé à votre GSM renseigné lors de la souscription au
                                            contrat Attijarinet.A la réception de ce code, vous serez invité à le saisir et à redéfinir votre
                                            mot de passe."
A quoi sert mon code à usage unique?,"Le code à usage unique renforce le niveau de sécurité de votre espace
                                            Attijarinet. Il vous servira à valider toutes vos opérations sensibles :Validation de vos virementsValidation de vos recharges de carteValidation de vos mises à disposition sur GABValidation de l'ajout de bénéficiaires de virementsValidation de l'ajout de cartes bénéficiaires (pour la recharge de
                                                carte)"
Que puis-je faire si je ne reçois pas mon code à usage unique?,"Rassurez-vous! Vous pouvez cliquer sur le bouton ""Appel vocal"" et recevoir le
                                            code par appel vocal.En cas de non réception de l'appel, veuillez vérifier si le N° GSM spécifié
                                            est correcte, sinon nous vous invitons à vous adresser à votre agence pour
                                            le
                                            modifier.En cas de non réception du sms, pensez à mettre à jour votre opérateur
                                            téléphonique dans le sous-menu ""Mes données personnelles"" du menu ""Mon
                                            espace
                                            Attijarinet""."
"Que se passe-t-il suite à une saisie infructueuse du code à usage unique lors de la validation de mes opérations (virements, ajout de bénéficiaires...)?","En cas d'échec, vous aurez la possibilité de le saisir à nouveau. Après 3
                                            saisies infructueuses, fernez la fenêtre de saisie du code pour revalider
                                            votre opération et regénérer un nouveau code."
